,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Manufacturer,Price_km
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.56,Audi,1101.9944
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,24.68,BMW,1401.1784
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.5,1197.0,82.9,5.0,3.67,Hyundai,1288.155
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5.0,29.5,BMW,1062.7265
1306,Toyota Etios G,Delhi,2012,60000,Petrol,Manual,First,17.6,1496.0,88.73,5.0,3.1,Toyota,1225.488
1307,Tata Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0,1405.0,70.0,5.0,2.9,Tata,1059.61
1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,Diesel,Automatic,Second,0.0,2987.0,165.0,5.0,43.0,Mercedes-Benz,0.0
1309,Volkswagen Beetle 2.0,Mumbai,2009,27078,Petrol,Automatic,First,10.98,1984.0,114.4,4.0,15.95,Volkswagen,764.5373999999999
1310,Volkswagen Polo GT TDI,Hyderabad,2011,57275,Diesel,Manual,First,19.7,1598.0,103.6,5.0,4.5,Volkswagen,1227.9009999999998
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,3.49,Hyundai,1495.92
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.25,Maruti,1570.716
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5.0,1.9,Hyundai,1495.92
1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,Diesel,Automatic,First,16.73,1995.0,218.0,5.0,16.57,BMW,1042.7809
1315,Honda City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.75,Honda,1183.71
1316,Audi A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,14.0,Audi,1031.5615
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5.0,2.5,Fiat,1215.435
1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,1.2,Honda,905.1899999999999
1319,Fiat Petra 1.2 EL,Pune,2005,120000,Petrol,Manual,Second,15.5,1242.0,,5.0,0.85,Fiat,1079.2649999999999
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,13.95,BMW,1414.2677
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.6,1388.0,68.0,5.0,1.6,Ford,1155.858
1322,Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.6,Tata,1524.8969999999997
1323,Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,20000,CNG,Manual,First,15.1,1196.0,73.0,5.0,4.5,Maruti,634.1999999999999
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5.0,6.06,Maruti,1454.5707
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,5.29,Maruti,1218.5249999999999
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.75,Ford,1414.8909999999998
1327,Maruti Swift 1.3 ZXI,Hyderabad,2015,50295,Petrol,Manual,First,16.1,,,,5.8,Maruti,1121.0430000000001
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1,1197.0,85.8,5.0,5.72,Maruti,1329.933
1329,Hyundai i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,4.39,Hyundai,1180.2285
1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.05,Mahindra,941.183
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,4.83,Hyundai,1404.9181999999998
1332,Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54,998.0,67.04,5.0,2.96,Maruti,1408.68
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.27,1396.0,88.76,5.0,4.5,Hyundai,1325.7591
1334,BMW 7 Series 730Ld,Mumbai,2011,55000,Diesel,Automatic,Second,16.46,2993.0,258.0,5.0,19.5,BMW,1025.9518
1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.75,Skoda,995.709
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,67.0,Audi,919.3675
1337,Honda City i VTEC VX,Kochi,2016,54317,Petrol,Manual,First,17.4,1497.0,117.3,5.0,8.4,Honda,1211.562
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.99,Hyundai,1329.933
1339,Honda City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0,1498.0,98.6,5.0,8.18,Honda,1620.58
1340,Honda Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.4,1198.0,86.8,5.0,2.9,Honda,1281.1919999999998
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.1,Maruti,1750.8497
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.05,Maruti,1657.3546999999999
1343,Honda CR-V 2.4L 4WD AT,Pune,2015,63050,Petrol,Automatic,First,11.1,2354.0,158.8,5.0,17.5,Honda,772.8929999999999
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,Petrol,Automatic,Second,14.53,1794.0,138.1,5.0,3.41,Toyota,1011.7238999999998
1345,Maruti Baleno Vxi,Pune,2005,70000,Petrol,Manual,First,0.0,1590.0,,5.0,1.3,Maruti,0.0
1346,Honda City 1.5 V MT,Coimbatore,2012,66245,Petrol,Manual,First,17.0,1497.0,118.0,5.0,5.68,Honda,1183.71
1347,Mahindra Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.05,2179.0,120.0,9.0,4.1,Mahindra,751.0765
1348,Skoda Laura 1.8 TSI Ambiente,Delhi,2011,87670,Petrol,Manual,First,13.4,1798.0,157.8,5.0,4.0,Skoda,933.0419999999999
1349,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,30.0,BMW,1176.7903999999999
1350,Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0,1586.0,104.68,5.0,1.8,Maruti,1044.4499999999998
1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.93,Maruti,1443.4298999999999
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,70.0,Land,635.766
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,7.9,Toyota,809.6667
1354,Hyundai Santro Xing GL,Kochi,2011,20842,Petrol,Manual,First,0.0,1086.0,62.0,5.0,2.78,Hyundai,0.0
1355,Hyundai Santa Fe 4WD AT,Chennai,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,14.4,Hyundai,810.9132999999999
1356,Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,45000,Petrol,Automatic,Second,11.74,1796.0,186.0,5.0,13.5,Mercedes-Benz,817.4562
1357,Maruti Wagon R LXI CNG,Mumbai,2014,40000,CNG,Manual,Second,26.6,998.0,58.16,5.0,3.15,Maruti,1117.2
1358,Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.88,Maruti,1371.7109999999998
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7,796.0,47.3,5.0,2.15,Maruti,1719.8609999999999
1360,Nissan Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.95,1498.0,97.7,5.0,3.75,Nissan,1180.2285
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.6,Maruti,1719.8609999999999
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.6,Maruti,1675.9941
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,7.55,Hyundai,1316.0069999999998
1364,Honda Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,4.7,Honda,1508.386
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.8,1248.0,90.0,5.0,1.6,Tata,1171.804
1366,Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.34,Chevrolet,1029.6915999999999
1367,Honda City i VTEC CVT VX,Kochi,2016,60475,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,9.1,Honda,1253.34
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.17,Hyundai,1316.0069999999998
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.5,Hyundai,1371.26
1370,Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.44,1198.0,75.0,5.0,3.0,Nissan,1283.9772
1371,Hyundai Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.75,Hyundai,1391.2056
1372,Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,26246,Petrol,Manual,First,15.29,1591.0,121.3,5.0,10.75,Hyundai,1064.6426999999999
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51,998.0,67.04,5.0,2.85,Maruti,1428.1113
1374,Honda Accord 2.4 Elegance A/T,Chennai,2008,90000,Petrol,Automatic,First,10.2,2354.0,180.0,5.0,6.5,Honda,710.2259999999999
1375,Honda City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,9.45,Honda,1169.7839999999999
1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39,1248.0,74.0,5.0,6.75,Maruti,1707.2187
1377,Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.75,Honda,1620.58
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54,1396.0,88.76,5.0,4.4,Hyundai,1404.9181999999998
1379,Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,42.0,Mercedes-Benz,810.29
1380,Nissan Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.01,1461.0,108.5,5.0,5.67,Nissan,1184.8933
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,11.5,Renault,1221.6680000000001
1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69,Maruti,1316.0069999999998
1383,Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.1,1493.0,110.0,5.0,1.8,Hyundai,1065.843
1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,3.2,Maruti,1288.155
1385,Honda City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,0.0,,,,1.5,Honda,0.0
1386,BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48,1995.0,187.74,5.0,45.86,BMW,1401.1784
1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47,1198.0,74.0,5.0,5.1,Volkswagen,1146.8060999999998
1388,Maruti Swift VDI BSIV,Pune,2013,37000,Diesel,Manual,First,17.8,1248.0,,5.0,4.85,Maruti,1109.474
1389,Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6,1196.0,70.0,5.0,2.4,Ford,1086.2279999999998
1390,BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,22.0,BMW,1176.7903999999999
1391,Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.28,Hyundai,1391.2056
1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.67,Renault,1274.6485
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5.0,6.2,Hyundai,1316.0069999999998
1394,BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05,1995.0,184.0,5.0,14.49,BMW,1062.7265
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.0,Maruti,1315.163
1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.25,Hyundai,1379.3702999999998
1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,43.78,BMW,995.4101
1398,Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8,1497.0,116.3,5.0,11.45,Honda,1169.7839999999999
1399,Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5,Mahindra,696.8494
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.48,Ford,1414.8909999999998
1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7,796.0,46.3,5.0,3.1,Maruti,1371.7109999999998
1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47,1198.0,74.0,5.0,2.55,Volkswagen,1146.8060999999998
1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,Volkswagen,1375.6231
1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.59,Volkswagen,1375.6231
1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.45,Maruti,1294.5941
1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.0,Ford,1419.2540999999999
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,15.49,Toyota,708.0687999999999
1408,BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8,2497.0,150.0,5.0,12.5,BMW,752.004
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,Maruti,1458.522
1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88,999.0,123.24,5.0,7.85,Ford,1314.6144
1411,Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,6.0,Hyundai,1047.144
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.0,Tata,1223.3990999999999
1413,Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4,2967.0,241.4,5.0,28.75,Audi,897.552
1414,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5,Tata,1389.959
1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.5,Maruti,1657.3546999999999
1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0,1368.0,90.0,5.0,1.59,Fiat,1114.08
1417,Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.22,Hyundai,1295.118
1418,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75,Hyundai,1469.193
1419,Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0,1086.0,,5.0,1.35,Hyundai,0.0
1420,Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,25.0,Mercedes-Benz,1115.7069999999999
1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1,998.0,67.04,5.0,2.8,Maruti,1608.453
1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8,1199.0,76.8,5.0,2.45,Chevrolet,1239.414
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.35,Honda,1322.9699999999998
1424,BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07,1995.0,181.0,5.0,8.0,BMW,1001.6431
1425,Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.25,Renault,1184.8933
1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01,1499.0,110.4,5.0,5.95,Ford,1184.4063
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.92,Toyota,852.6744
1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44,936.0,56.3,5.0,3.15,Chevrolet,1585.6752000000001
1429,Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21,1798.0,189.0,4.0,5.75,Volkswagen,1198.3323
1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,32.44,Ford,680.0203
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.32,1582.0,126.32,5.0,8.01,Hyundai,1391.2056
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.48,Ford,1264.4807999999998
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.75,Maruti,1121.0430000000001
1434,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,5.0,Honda,1620.58
1435,Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.75,Mahindra,997.28
1436,Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,Ford,1246.6
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497.0,121.36,5.0,9.2,Ford,1183.71
1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.05,Hyundai,1295.118
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,9.6,Toyota,809.6667
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.5,Renault,1275.2718
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.35,Toyota,809.6667
1442,Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.6,Honda,1183.71
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.5,Maruti,1675.9941
1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49,1198.0,67.04,5.0,4.26,Nissan,1357.0886999999998
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,4.25,Maruti,1608.453
1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7,1796.0,178.0,5.0,11.75,Mercedes-Benz,814.6709999999999
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5,1498.0,88.7,5.0,3.5,Ford,1464.7549999999999
1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.5,Hyundai,1184.4063
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0,1396.0,100.0,5.0,3.25,Hyundai,1044.4499999999998
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.9,Maruti,1218.5249999999999
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,27.0,Mercedes-Benz,924.9771999999999
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6,1197.0,81.86,5.0,8.91,Hyundai,1295.118
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.01,1591.0,121.4,5.0,6.69,Hyundai,1184.4063
1454,Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3,1998.0,163.7,5.0,6.02,Chevrolet,1078.309
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798.0,138.03,5.0,4.5,Toyota,994.3163999999999
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.0,Maruti,1322.9699999999998
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.4,Nissan,1438.5764
1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.2,Tata,1768.6019999999999
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4,1248.0,74.0,5.0,2.9,Maruti,1458.522
1460,Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,0.0,,,,40.88,Land,0.0
1461,Audi Q3 2.0 TDI Quattro,Ahmedabad,2016,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,27.0,Audi,1079.5556
1462,Honda Amaze VX i-DTEC,Chennai,2016,15388,Diesel,Manual,First,25.8,1498.0,98.6,5.0,7.5,Honda,1608.114
1463,Chevrolet Optra 1.6 LS,Mumbai,2004,98798,Petrol,Manual,First,14.7,1599.0,104.0,5.0,1.5,Chevrolet,1023.5609999999999
1464,Audi Q5 2.0 TDI Premium Plus,Hyderabad,2016,43000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,39.5,Audi,882.5928
1465,Maruti Ritz VDi,Hyderabad,2012,85112,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.39,Maruti,1446.0559999999998
1466,Mahindra Scorpio S6 7 Seater,Kochi,2018,37804,Diesel,Manual,First,15.4,2179.0,120.0,7.0,12.4,Mahindra,959.882
1467,Maruti Ciaz ZDi SHVS,Chennai,2014,45000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,6.85,Maruti,1750.8497
1468,Toyota Corolla Altis Aero D 4D J,Pune,2011,116000,Diesel,Manual,Second,21.43,1364.0,138.0,5.0,5.75,Toyota,1335.7319
1469,Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396.0,69.0,5.0,2.0,Tata,1558.25
1470,Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1,796.0,37.0,4.0,0.9,Maruti,1121.0430000000001
1471,Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,3.8,Volkswagen,1146.8060999999998
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,16.35,Hyundai,1017.9905999999999
1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,16.5,Toyota,716.795
1474,Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.7,Maruti,1490.0819999999999
1475,Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.1,Maruti,1490.0819999999999
1476,Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998.0,112.0,5.0,21.94,Mini,1483.454
1477,Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13.0,2987.0,210.0,5.0,22.0,Mercedes-Benz,810.29
1478,Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92,998.0,67.1,5.0,2.65,Maruti,1456.6596
1479,Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.27,Maruti,1420.4519999999998
1480,Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248.0,74.0,5.0,2.48,Chevrolet,1377.493
1481,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,6.0,Toyota,797.8240000000001
1482,Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,8.9,Toyota,716.795
