,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Manufacturer,Price_km
658,Toyota Corolla Executive (HE),Chennai,2007,89000,Petrol,Manual,First,1794.0,125.0,5.0,3.0,Toyota,933.0419999999999
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,1198.0,73.75,5.0,7.27,Volkswagen,1183.71
4421,Toyota Corolla 1.8 J,Delhi,2015,12000,Petrol,Manual,First,1798.0,138.0,5.0,11.0,Toyota,1011.7238999999998
4082,Volkswagen Polo Diesel Trendline 1.2L,Hyderabad,2013,86300,Diesel,Manual,First,1199.0,73.9,5.0,4.5,Volkswagen,1375.6231
2221,Volkswagen Polo Petrol Comfortline 1.2L,Jaipur,2011,46000,Petrol,Manual,First,1198.0,73.9,5.0,3.05,Volkswagen,1146.8060999999998
5693,Chevrolet Beat Diesel LS,Bangalore,2015,66000,Diesel,Manual,First,936.0,56.3,5.0,2.35,Chevrolet,1585.6752000000001
2379,Hyundai EON Era Plus,Jaipur,2017,52000,Petrol,Manual,Second,814.0,55.2,5.0,3.5,Hyundai,1469.193
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,1498.0,88.7,5.0,3.5,Ford,1464.7549999999999
342,Hyundai i20 Asta Option 1.2,Coimbatore,2016,24973,Petrol,Manual,First,1197.0,81.83,5.0,7.66,Hyundai,1295.118
3620,Skoda Rapid 1.6 TDI Elegance,Hyderabad,2013,93000,Diesel,Manual,First,1598.0,103.5,5.0,5.0,Skoda,1277.7649999999999
2527,Hyundai Santro Xing XO CNG,Pune,2005,100000,CNG,Manual,Third,1086.0,,5.0,1.2,Hyundai,714.0
727,Hyundai i20 1.2 Magna,Chennai,2010,67714,Petrol,Manual,First,1197.0,80.0,5.0,3.25,Hyundai,1288.155
4733,Toyota Innova 2.5 GX (Diesel) 7 Seater,Hyderabad,2014,92247,Diesel,Manual,First,2494.0,100.6,7.0,12.5,Toyota,809.6667
976,Hyundai i20 1.2 Sportz,Pune,2011,41980,Petrol,Manual,Second,1197.0,80.0,5.0,3.3,Hyundai,1183.71
5028,Honda City i VTEC VX,Kolkata,2015,32000,Petrol,Manual,First,1497.0,117.3,5.0,5.5,Honda,1239.414
5447,Mercedes-Benz GLA Class 200 d Style,Kochi,2016,26212,Diesel,Automatic,First,2143.0,136.0,5.0,24.46,Mercedes-Benz,1115.7069999999999
1928,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,1582.0,126.2,5.0,12.0,Hyundai,1060.2333
3711,Maruti Swift Dzire LDI,Chennai,2016,91000,Diesel,Manual,First,1248.0,74.0,5.0,4.5,Maruti,1657.3546999999999
5777,Hyundai i20 Asta Option 1.2,Kolkata,2015,36000,Petrol,Manual,First,1197.0,81.83,5.0,4.9,Hyundai,1295.118
1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,Diesel,Automatic,Second,2993.0,180.0,7.0,34.0,Land,735.494
4183,Tata Indica Vista Quadrajet VX,Chennai,2012,120000,Diesel,Manual,Second,1248.0,74.0,5.0,2.6,Tata,1389.959
5522,Maruti Ertiga VDI,Pune,2013,43486,Diesel,Manual,First,1248.0,88.76,7.0,6.6,Maruti,1294.5941
660,Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,Diesel,Manual,First,2494.0,100.6,7.0,12.75,Toyota,809.6667
1790,Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,1343.0,90.0,5.0,1.3,Honda,905.1899999999999
3406,Mercedes-Benz A Class A180 CDI,Bangalore,2014,8000,Diesel,Automatic,Second,2143.0,107.3,5.0,19.75,Mercedes-Benz,1246.6
3961,Honda Jazz 1.5 SV i DTEC,Hyderabad,2016,44345,Diesel,Manual,First,1498.0,98.6,5.0,6.1,Honda,1701.609
493,Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,35437,Diesel,Automatic,First,2143.0,136.0,5.0,18.58,Mercedes-Benz,1246.6
3126,Maruti Baleno Sigma 1.2,Mumbai,2016,8500,Petrol,Manual,First,1197.0,83.1,5.0,5.49,Maruti,1490.0819999999999
4222,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Kolkata,2014,34233,Diesel,Automatic,First,2143.0,203.0,5.0,22.5,Mercedes-Benz,885.7093
4184,Hyundai i20 1.2 Magna,Kolkata,2010,45000,Petrol,Manual,First,1197.0,80.0,5.0,1.9,Hyundai,1288.155
5946,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2016,16000,Diesel,Automatic,First,2993.0,258.0,5.0,48.0,BMW,915.6276999999999
5536,Honda City 1.5 V AT,Kolkata,2015,45000,Petrol,Automatic,First,1497.0,118.0,5.0,5.25,Honda,1169.7839999999999
1085,Hyundai Creta 1.6 VTVT S,Kochi,2016,36855,Petrol,Manual,Second,1591.0,121.3,5.0,8.77,Hyundai,1064.6426999999999
5677,Maruti SX4 S Cross DDiS 200 Zeta,Jaipur,2016,70000,Diesel,Manual,First,1248.0,88.5,5.0,8.85,Maruti,1474.1045
694,Audi A6 2.0 TDI Design Edition,Hyderabad,2014,48000,Diesel,Automatic,First,1968.0,187.74,5.0,29.0,Audi,1154.9749
1278,Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,86000,Petrol,Manual,First,1799.0,130.2,5.0,2.9,Honda,1030.524
4239,Toyota Innova 2.5 GX (Diesel) 8 Seater,Delhi,2013,91200,Diesel,Manual,First,2494.0,100.0,8.0,8.25,Toyota,809.6667
1621,Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,1199.0,73.9,5.0,2.51,Skoda,1300.2038
2561,Volvo S80 D5,Hyderabad,2008,79000,Diesel,Automatic,First,2400.0,215.0,5.0,10.99,Volvo,816.5229999999999
4198,Toyota Innova 2.5 G3,Kolkata,2005,65175,Diesel,Manual,First,2494.0,102.0,8.0,3.25,Toyota,797.8240000000001
4448,Honda City 1.5 S MT,Delhi,2009,64000,Petrol,Manual,First,1497.0,118.0,5.0,3.1,Honda,1183.71
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,1950.0,194.0,5.0,35.67,Mercedes-Benz,0.0
3671,Volkswagen Vento Diesel Highline,Hyderabad,2010,71000,Diesel,Manual,First,1598.0,103.6,5.0,4.25,Volkswagen,1280.2582
3917,Hyundai Elantra CRDi SX,Kolkata,2014,45000,Diesel,Manual,First,1582.0,126.24,5.0,7.0,Hyundai,1414.8909999999998
2269,Maruti Baleno Sigma 1.2,Mumbai,2017,15544,Petrol,Manual,First,1197.0,83.1,5.0,5.65,Maruti,1490.0819999999999
4228,Maruti Zen Estilo LXI BS IV,Hyderabad,2011,61111,Petrol,Manual,First,998.0,67.1,5.0,2.6,Maruti,1322.9699999999998
5764,Maruti Alto K10 2010-2014 VXI,Hyderabad,2011,78000,Petrol,Manual,Second,998.0,67.1,5.0,2.3,Maruti,1456.6596
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,1399.0,92.7,5.0,1.79,Chevrolet,1008.9386999999999
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,Petrol,Automatic,First,1798.0,138.03,5.0,18.0,Toyota,994.3163999999999
1677,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,1197.0,81.86,5.0,4.9,Hyundai,1316.0069999999998
5022,Land Rover Freelander 2 TD4 SE,Hyderabad,2013,46000,Diesel,Automatic,Second,2179.0,115.0,5.0,26.0,Land,0.0
2867,Hyundai EON Era Plus,Kochi,2018,15334,Petrol,Manual,First,814.0,55.2,5.0,3.69,Hyundai,1469.193
4386,Maruti Zen Estilo 1.1 VXI BSIII,Delhi,2008,138000,Petrol,Manual,First,1061.0,64.0,5.0,1.2,Maruti,1267.2659999999998
2367,Maruti Grand Vitara 2.4 MT,Kochi,2018,28786,Petrol,Manual,First,2393.0,163.5,5.0,9.74,Maruti,724.1519999999999
4839,Nissan Micra XV Primo,Kolkata,2011,43000,Petrol,Manual,First,1198.0,75.0,5.0,2.13,Nissan,1257.5177999999999
3901,Toyota Corolla Altis 1.8 G CNG,Mumbai,2010,63000,CNG,Manual,Second,1798.0,138.0,5.0,3.35,Toyota,610.26
2512,Hyundai i10 Sportz AT,Coimbatore,2011,32824,Petrol,Automatic,First,1197.0,78.9,5.0,3.83,Hyundai,1180.2285
2723,Honda City V MT Exclusive,Kochi,2015,53442,Petrol,Manual,First,1497.0,116.3,5.0,7.0,Honda,1169.7839999999999
5357,Mahindra Bolero ZLX,Jaipur,2016,65000,Diesel,Manual,First,2523.0,62.1,7.0,7.21,Mahindra,994.7868
5227,Toyota Corolla Altis VL,Mumbai,2008,110000,Petrol,Automatic,Second,1798.0,138.1,5.0,2.75,Toyota,1011.7238999999998
4444,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2018,4500,Petrol,Manual,First,1197.0,81.86,5.0,4.8,Hyundai,1316.0069999999998
1143,Maruti Swift VDI BSIV,Bangalore,2013,23000,Diesel,Manual,First,1248.0,74.0,5.0,5.6,Maruti,1109.474
397,Tata Xenon XT EX 4X2,Pune,2014,85000,Diesel,Manual,First,2179.0,138.03,5.0,3.5,Tata,840.8317
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,Diesel,Automatic,First,2148.0,170.0,5.0,15.8,Mercedes-Benz,623.3
5150,Mahindra XUV500 W6 2WD,Kolkata,2014,62000,Diesel,Manual,First,2179.0,140.0,7.0,7.25,Mahindra,941.183
5291,Maruti Baleno RS Petrol,Kochi,2018,43639,Petrol,Manual,First,998.0,100.0,5.0,8.15,Maruti,1469.193
1398,Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,1497.0,116.3,5.0,11.45,Honda,1169.7839999999999
1659,Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,1396.0,90.0,5.0,6.75,Hyundai,1433.59
3347,Maruti Swift Dzire VXi AT,Coimbatore,2017,46849,Petrol,Automatic,First,1197.0,83.14,5.0,6.93,Maruti,1288.155
2220,Honda Brio 1.2 VX AT,Mumbai,2017,20000,Petrol,Automatic,First,1198.0,86.8,5.0,5.99,Honda,1148.895
979,Maruti Wagon R VXI BS IV,Pune,2014,51000,Petrol,Manual,First,998.0,67.04,5.0,3.1,Maruti,1428.1113
2331,Volkswagen Vento Diesel Comfortline,Chennai,2012,90906,Diesel,Manual,First,1598.0,103.6,5.0,4.25,Volkswagen,1280.2582
1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,Petrol,Manual,First,1298.0,88.2,5.0,4.5,Maruti,1121.0430000000001
3237,Honda Accord 2.4 Elegance M/T,Chennai,2010,80000,Petrol,Manual,First,2354.0,180.0,5.0,3.99,Honda,710.2259999999999
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,1198.0,86.7,5.0,4.82,Honda,1253.34
3114,Maruti Ertiga Paseo VDI,Delhi,2016,67000,Diesel,Manual,First,1248.0,88.7,7.0,6.75,Maruti,1294.5941
3497,Hyundai Xcent 1.1 CRDi S Option,Delhi,2015,58000,Diesel,Manual,First,1120.0,71.01,5.0,4.95,Hyundai,1520.8519999999999
5190,Maruti SX4 Vxi BSIV,Delhi,2009,92000,Petrol,Manual,First,1586.0,103.3,5.0,2.7,Maruti,1079.2649999999999
3948,Mercedes-Benz New C-Class C 220 CDI CLASSIC,Jaipur,2009,116000,Diesel,Manual,Second,2148.0,170.0,5.0,8.5,Mercedes-Benz,984.814
4732,Honda Brio VX AT,Pune,2016,32198,Petrol,Automatic,First,1198.0,86.8,5.0,5.1,Honda,1148.895
5913,Maruti Swift Dzire ZDi,Chennai,2010,100000,Diesel,Manual,First,1248.0,73.9,5.0,4.5,Maruti,1202.969
2903,Hyundai EON Era Plus,Pune,2013,22000,Petrol,Manual,First,814.0,55.2,5.0,2.6,Hyundai,1469.193
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,1798.0,187.74,5.0,24.5,Audi,1062.5538
5201,Mahindra Scorpio SLE BSIV,Bangalore,2013,70359,Diesel,Manual,First,2179.0,120.0,8.0,7.65,Mahindra,751.0765
1904,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,2148.0,170.0,5.0,18.49,Mercedes-Benz,984.814
5453,Hyundai Accent GLE,Pune,2001,130000,Petrol,Manual,Second,1495.0,94.0,5.0,0.75,Hyundai,919.1159999999999
1530,Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,1248.0,74.0,5.0,4.25,Maruti,1427.357
5229,BMW 3 Series 320d,Bangalore,2012,73000,Diesel,Automatic,First,1995.0,190.0,5.0,12.5,BMW,1414.2677
1565,Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Diesel,Automatic,Second,1968.0,167.7,5.0,8.5,Volkswagen,1142.5088999999998
4446,Mahindra E Verito D4,Chennai,2016,50000,Electric,Automatic,First,72.0,41.0,5.0,13.0,Mahindra,
2749,Maruti Wagon R LXI,Mumbai,2010,37822,Petrol,Manual,First,998.0,67.04,5.0,2.35,Maruti,1566.675
839,Maruti Alto Green LXi (CNG),Delhi,2012,65537,CNG,Manual,First,796.0,38.4,5.0,2.1,Maruti,1126.86
500,Maruti Wagon R VXI,Ahmedabad,2011,75000,Petrol,Manual,First,998.0,67.1,5.0,2.6,Maruti,1316.0069999999998
3289,Audi Q3 35 TDI Quattro Premium Plus,Bangalore,2015,38000,Diesel,Automatic,First,1968.0,174.33,5.0,29.0,Audi,980.4509
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,1498.0,98.6,5.0,3.7,Honda,1608.114
4960,Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,2013,38000,Petrol,Manual,First,1198.0,73.9,5.0,2.8,Volkswagen,1146.8060999999998
2605,Tata Nano Cx,Jaipur,2010,57000,Petrol,Manual,First,624.0,35.0,4.0,0.5,Tata,1810.3799999999999
5078,Maruti Vitara Brezza ZDi,Coimbatore,2017,21789,Diesel,Manual,First,1248.0,88.5,5.0,9.88,Maruti,1514.619
1377,Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,1498.0,98.6,5.0,7.75,Honda,1620.58
4672,Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,100000,Diesel,Manual,First,1120.0,71.0,5.0,4.5,Hyundai,1520.8519999999999
5900,Mercedes-Benz GLC 220,Coimbatore,2017,50794,Diesel,Automatic,First,2143.0,170.0,5.0,43.3,Mercedes-Benz,1115.7069999999999
2266,Toyota Fortuner 3.0 Diesel,Jaipur,2009,149706,Diesel,Manual,First,2982.0,171.0,7.0,11.0,Toyota,716.795
5599,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Jaipur,2013,60000,Diesel,Automatic,First,2148.0,170.0,5.0,27.0,Mercedes-Benz,623.3
1138,BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,Diesel,Automatic,First,2993.0,258.0,5.0,44.0,BMW,915.6276999999999
2257,Toyota Innova Crysta 2.4 G MT,Hyderabad,2016,121362,Diesel,Manual,First,2393.0,147.8,7.0,16.0,Toyota,852.6744
3937,Ford Ecosport 1.5 DV5 MT Titanium,Pune,2014,72100,Diesel,Manual,First,1498.0,89.84,5.0,5.45,Ford,1414.8909999999998
1787,Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,1196.0,70.0,5.0,2.4,Ford,1086.2279999999998
3651,Maruti S-Cross Alpha DDiS 200 SH,Kolkata,2016,45296,Diesel,Manual,First,1248.0,88.5,5.0,6.99,Maruti,1564.483
550,Honda City ZX GXi,Kochi,2009,69690,Petrol,Manual,First,1497.0,78.0,5.0,3.29,Honda,1232.4509999999998
459,Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,Diesel,Automatic,First,4134.0,335.2,7.0,48.91,Audi,706.1989
2019,Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,First,1968.0,167.6,5.0,23.0,Audi,797.8240000000001
948,Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,1197.0,85.8,5.0,4.2,Maruti,1288.155
4442,Tata Indica V2 eLS,Hyderabad,2016,80103,Diesel,Manual,First,1396.0,69.0,5.0,1.8,Tata,1558.25
5296,Mini Cooper S Carbon Edition,Delhi,2012,18000,Petrol,Automatic,First,1598.0,181.0,4.0,22.0,Mini,946.968
532,Maruti Ertiga VXI,Jaipur,2014,47399,Petrol,Manual,First,1373.0,93.7,7.0,5.6,Maruti,1115.4725999999998
3859,Toyota Innova 2.5 V Diesel 8-seater,Pune,2013,112000,Diesel,Manual,First,2494.0,102.0,8.0,12.0,Toyota,797.8240000000001
1829,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,1396.0,88.73,5.0,7.0,Hyundai,1404.9181999999998
4119,Maruti Wagon R VXI,Pune,2014,38958,Petrol,Manual,First,998.0,67.04,5.0,3.41,Maruti,1566.675
5427,Maruti Wagon R VXI AMT,Delhi,2016,30000,Petrol,Automatic,First,998.0,67.0,5.0,4.25,Maruti,1566.675
5067,Land Rover Discovery Sport SD4 HSE Luxury 7S,Coimbatore,2019,17201,Diesel,Automatic,First,2179.0,187.7,7.0,58.91,Land,779.7483
3390,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2015,29500,Diesel,Automatic,First,2993.0,258.0,7.0,43.0,BMW,995.4101
1602,Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,796.0,37.0,4.0,1.3,Maruti,1121.0430000000001
2238,Honda Civic 2006-2010 1.8 V MT,Hyderabad,2008,152000,Petrol,Manual,Second,1799.0,130.0,5.0,3.0,Honda,940.0049999999999
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,1197.0,81.8,5.0,5.7,Maruti,1454.5707
5810,Honda City i DTEC VX,Kolkata,2015,30000,Diesel,Manual,First,1498.0,98.6,5.0,6.95,Honda,1564.483
967,Hyundai i10 Era,Jaipur,2008,84000,Petrol,Manual,Second,1086.0,68.05,5.0,1.8,Hyundai,1379.3702999999998
5077,Honda City i VTEC SV,Mumbai,2014,10500,Petrol,Manual,First,1497.0,117.3,5.0,5.9,Honda,1211.562
3728,Toyota Fortuner 4x2 AT,Delhi,2014,79000,Diesel,Automatic,First,2982.0,168.5,7.0,18.25,Toyota,782.2415
1683,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,2143.0,170.0,5.0,34.78,Mercedes-Benz,924.9771999999999
2248,Fiat Linea Emotion (Diesel),Kolkata,2015,32000,Diesel,Manual,First,1248.0,91.7,5.0,4.65,Fiat,1271.532
5319,Honda Accord 2001-2003 2.0 AT,Bangalore,2010,83000,Petrol,Automatic,Second,2354.0,142.0,5.0,6.5,Honda,772.8929999999999
5373,Maruti Swift Dzire LDI,Hyderabad,2017,44504,Diesel,Manual,First,1248.0,74.0,5.0,5.6,Maruti,1458.522
3941,Tata Indica GLS BS IV,Pune,2007,137000,Petrol,Manual,Second,1193.0,65.3,5.0,0.95,Tata,1065.339
155,Hyundai EON Magna Plus,Kochi,2019,14322,Petrol,Manual,First,814.0,55.2,5.0,4.23,Hyundai,1469.193
2295,Ford Figo 2015-2019 1.2P Trend MT,Coimbatore,2017,39419,Petrol,Manual,First,1196.0,86.8,5.0,4.95,Ford,1264.4807999999998
3539,Nissan Terrano XL D Option,Hyderabad,2013,65280,Diesel,Manual,First,1461.0,83.14,5.0,5.8,Nissan,1238.4971
4037,Honda City i VTEC SV,Kochi,2017,38691,Petrol,Manual,First,1497.0,117.3,5.0,7.68,Honda,1239.414
1089,Nissan Terrano XL,Mumbai,2014,40000,Petrol,Manual,First,1598.0,102.5,5.0,5.25,Nissan,921.9011999999999
3765,Maruti Swift Dzire VXI,Pune,2016,32000,Petrol,Manual,First,1197.0,85.8,5.0,5.3,Maruti,1329.933
2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,Diesel,Automatic,First,2987.0,258.0,5.0,78.8,Mercedes-Benz,1121.94
2940,Maruti Baleno Alpha 1.3,Kolkata,2016,29000,Diesel,Manual,First,1248.0,74.0,5.0,6.5,Maruti,1707.2187
5082,BMW 3 Series 330 Ci Convertible,Delhi,2011,31000,Petrol,Automatic,First,2497.0,215.0,5.0,31.0,BMW,758.967
288,Volkswagen Vento Diesel Highline,Hyderabad,2011,69000,Diesel,Manual,First,1598.0,103.6,5.0,4.7,Volkswagen,1280.2582
930,Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,1061.0,64.0,5.0,1.65,Maruti,1267.2659999999998
2909,Hyundai Santro Xing GLS,Hyderabad,2008,95291,Petrol,Manual,First,1086.0,62.1,5.0,2.3,Hyundai,1247.7696
3601,Audi A6 2.7 TDI,Ahmedabad,2009,78000,Diesel,Automatic,First,2698.0,179.5,5.0,8.0,Audi,772.892
4667,Hyundai Grand i10 AT Asta,Coimbatore,2016,36139,Petrol,Automatic,Second,1197.0,82.0,5.0,6.3,Hyundai,1316.0069999999998
2884,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Chennai,2011,90000,Diesel,Automatic,First,2143.0,167.62,5.0,13.9,Mercedes-Benz,924.9771999999999
3393,Skoda Octavia L and K 1.9 TDI MT,Hyderabad,2006,121000,Diesel,Manual,Second,1896.0,90.0,5.0,2.5,Skoda,1022.2119999999999
3235,Volvo S60 D4 KINETIC,Ahmedabad,2015,34000,Diesel,Automatic,First,1984.0,181.0,5.0,20.0,Volvo,560.97
5458,Maruti Swift VDI BSIV,Hyderabad,2014,81609,Diesel,Manual,First,1248.0,74.0,5.0,5.55,Maruti,1109.474
3000,Honda City 1.5 E MT,Kolkata,2010,54801,Petrol,Manual,First,1497.0,118.0,5.0,2.5,Honda,1183.71
4734,Volkswagen Vento 1.5 TDI Highline,Chennai,2011,121311,Diesel,Manual,First,1498.0,108.5,5.0,2.9,Volkswagen,1286.4912
3366,Honda City i DTEC SV,Mumbai,2014,25000,Diesel,Manual,First,1498.0,98.6,5.0,6.15,Honda,1620.58
5932,Maruti Alto 800 2016-2019 LXI,Chennai,2016,5700,Petrol,Manual,First,796.0,47.3,5.0,2.8,Maruti,1719.8609999999999
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,1248.0,74.0,5.0,6.5,Maruti,1707.2187
2354,Hyundai i10 Sportz,Delhi,2012,59000,Petrol,Manual,First,1197.0,78.9,5.0,2.85,Hyundai,1417.6668
4775,Hyundai Grand i10 Asta Option,Coimbatore,2017,31576,Petrol,Manual,First,1197.0,82.0,5.0,7.85,Hyundai,1316.0069999999998
5184,Nissan Sunny 2011-2014 XV,Chennai,2016,18000,Petrol,Manual,First,1498.0,97.7,5.0,7.5,Nissan,1180.2285
5607,Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Pune,2015,65320,Diesel,Automatic,Second,1968.0,138.03,5.0,11.5,Volkswagen,1057.1168
1698,Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Petrol,Manual,First,1197.0,81.83,5.0,6.25,Hyundai,1295.118
5661,Hyundai Verna CRDi,Chennai,2009,64514,Diesel,Manual,First,1493.0,110.0,5.0,2.9,Hyundai,1047.144
4148,Ford Ikon 1.3 Flair,Coimbatore,2008,59833,Petrol,Manual,Fourth & Above,1299.0,70.0,5.0,1.97,Ford,960.894
4671,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Mumbai,2016,26000,Petrol,Automatic,First,1499.0,110.4,5.0,7.65,Ford,1117.5615
3995,Hyundai i20 1.2 Sportz,Pune,2011,54000,Petrol,Manual,First,1197.0,80.0,5.0,3.2,Hyundai,1183.71
4237,Renault KWID RXT Optional,Mumbai,2016,16000,Petrol,Manual,First,799.0,53.3,5.0,2.99,Renault,1752.5871
985,Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,998.0,67.1,5.0,2.1,Maruti,1456.6596
5952,Maruti Swift Lxi BSIII,Pune,2009,90456,Petrol,Manual,Second,1298.0,88.2,5.0,3.0,Maruti,1121.0430000000001
3121,Maruti Swift Dzire ZXi,Mumbai,2009,60000,Petrol,Manual,First,1298.0,85.8,5.0,2.45,Maruti,1218.5249999999999
5540,Hyundai Creta 1.6 CRDi SX,Coimbatore,2016,37023,Diesel,Manual,First,1582.0,126.2,5.0,13.39,Hyundai,1226.0311000000002
5742,Maruti Baleno Delta 1.2,Jaipur,2017,27000,Petrol,Manual,First,1197.0,83.1,5.0,4.5,Maruti,1490.0819999999999
981,Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,1590.0,94.0,5.0,1.05,Maruti,1072.302
3544,Jeep Compass 2.0 Limited Option 4X4,Jaipur,2017,45000,Diesel,Manual,First,1956.0,170.0,5.0,20.0,Jeep,1015.979
5244,Hyundai i20 1.2 Asta,Chennai,2014,41681,Petrol,Manual,First,1197.0,80.0,5.0,4.55,Hyundai,1183.71
5472,Volkswagen Vento IPL II Petrol Trendline,Pune,2011,66000,Petrol,Manual,First,1598.0,105.0,5.0,2.75,Volkswagen,1100.154
3458,Renault Duster 110PS Diesel RxL,Pune,2014,142000,Diesel,Manual,Second,1461.0,108.45,5.0,6.0,Renault,1184.8933
4306,Hyundai i10 Era 1.1,Jaipur,2008,82203,Petrol,Manual,First,1086.0,68.05,5.0,1.8,Hyundai,1379.3702999999998
3513,Mahindra KUV 100 mFALCON G80 K6 Plus,Chennai,2016,13500,Petrol,Manual,First,1198.0,82.0,6.0,3.75,Mahindra,1263.7844999999998
1473,Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,2982.0,169.0,7.0,16.5,Toyota,716.795
4561,Tata Nano Cx BSIV,Coimbatore,2014,42083,Petrol,Manual,First,624.0,37.48,4.0,1.68,Tata,1768.6019999999999
3372,Maruti SX4 Vxi BSIV,Mumbai,2010,47500,Petrol,Manual,First,1586.0,103.3,5.0,2.45,Maruti,1079.2649999999999
4768,Volkswagen Polo Petrol Trendline 1.2L,Kochi,2016,36733,Petrol,Manual,First,1198.0,73.9,5.0,4.72,Volkswagen,1146.8060999999998
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,1461.0,63.1,5.0,2.4,Nissan,1438.5764
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,1248.0,73.9,5.0,3.0,Maruti,1315.163
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,2987.0,254.79,5.0,61.29,Mercedes-Benz,721.1581
2748,Hyundai Creta 1.6 CRDi AT SX Plus,Coimbatore,2017,50170,Diesel,Automatic,First,1582.0,126.2,5.0,14.79,Hyundai,1060.2333
3409,Renault Scala RxL AT,Mumbai,2013,7000,Petrol,Automatic,First,1498.0,99.6,5.0,3.65,Renault,1251.2511
2692,BMW 3 Series 320d,Kolkata,2011,70000,Diesel,Automatic,First,1995.0,190.0,5.0,10.3,BMW,1414.2677
929,Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,Manual,First,1498.0,98.59,5.0,7.0,Ford,1419.2540999999999
4230,Hyundai i10 Asta,Kolkata,2011,43000,Petrol,Manual,First,1197.0,78.9,5.0,2.49,Hyundai,1417.6668
5079,Hyundai Elite i20 Asta Option,Coimbatore,2019,21134,Petrol,Manual,First,1197.0,81.86,5.0,8.78,Hyundai,1295.118
